BHK,Size_in_SqFt,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Availability_Status,Bathrooms,Balcony,Population_Density,Mall_Distance_km,Crime_Index,Infra_Growth_Score,Amenity_Count,Floor_Ratio,State_Encoded,City_Encoded,Property_Type_Apartment,Property_Type_Independent House,Property_Type_Villa,Furnished_Status_Furnished,Furnished_Status_Semi-furnished,Furnished_Status_Unfurnished,Facing_East,Facing_North,Facing_South,Facing_West,Owner_Type_Broker,Owner_Type_Builder,Owner_Type_Owner
4,692,15,24,3,6,6,2,1,0,1,4,3,3800,8.6,3.8,5.6,2,0.62,6,14,0,1,0,0,1,0,0,0,1,0,0,1,0
2,3094,3,18,10,3,8,2,0,0,0,2,2,430,13.7,3.9,5.3,4,0.17,0,40,1,0,0,1,0,0,0,0,1,0,0,1,0
3,4993,19,27,30,10,1,3,0,0,1,3,2,855,9.5,3.1,7.3,5,0.7,10,3,1,0,0,0,0,1,0,0,0,1,0,0,1
1,2461,14,20,7,10,5,1,1,0,0,1,0,2200,4.4,6.2,5.3,2,0.7,13,25,0,0,1,0,1,0,0,0,1,0,0,0,1
2,4535,5,25,34,5,9,2,0,1,0,2,2,2900,3.5,6.1,6.2,1,0.2,6,12,0,1,0,0,1,0,0,0,1,0,0,1,0
1,3228,7,13,6,7,7,1,1,0,0,1,1,11297,1.8,6.0,5.0,2,0.54,4,30,0,0,1,0,1,0,0,0,0,1,0,0,1
1,3461,6,11,23,2,8,3,0,1,0,1,0,3000,14.2,4.4,7.0,5,0.55,10,18,1,0,0,1,0,0,0,1,0,0,1,0,0
3,2653,3,21,5,9,9,1,1,0,0,3,2,5800,4.8,7.7,6.2,5,0.14,11,33,1,0,0,0,0,1,1,0,0,0,0,1,0
3,2217,7,11,5,9,8,2,0,0,0,3,1,4378,2.5,3.9,7.1,5,0.64,8,2,0,0,1,0,1,0,0,0,1,0,1,0,0
3,4974,19,21,18,9,4,2,1,0,0,3,2,1200,14.5,4.2,5.9,4,0.9,7,20,1,0,0,0,0,1,0,0,1,0,0,0,1
2,2270,4,11,22,3,7,2,0,1,0,2,1,26903,1.6,7.8,5.0,2,0.36,15,6,0,0,1,0,0,1,0,0,0,1,1,0,0
3,3471,21,26,10,7,10,3,0,0,0,3,1,1200,10.8,1.0,9.1,4,0.81,8,26,0,0,1,0,0,1,0,0,0,1,0,0,1
5,569,5,22,27,6,10,1,1,1,1,5,2,690,11.6,1.5,5.6,4,0.23,3,34,1,0,0,0,0,1,1,0,0,0,0,0,1
4,4296,10,22,3,6,6,2,0,0,0,4,2,690,13.5,4.8,5.6,1,0.45,3,34,0,0,1,1,0,0,1,0,0,0,1,0,0
